rank,filename,audio_id,sha256,path,current_cluster,status,robust_score,sim_drowning,sim_movie,sim_prototype,min_seed_similarity,mean_seed_similarity,seed_similarity_gap,segment_median_drowning,segment_median_movie,segment_support,quality,review_required,notes
27,upload.webm · 90147c98,90147c986aae,90147c986aae93ab817b52c80a3422a2b362c9a172ff602b2d301220117951c6,C:\VocalAgent\runtime\7a90a8f1a59b41c6b0f8e7c678b4a9df\upload.webm,speaker_005,LOW_CANDIDATE,0.386463,0.353561,0.452484,0.443877,0.353561,0.403023,0.098922,0.511880,0.579039,1.000000,FAIR,False,weak similarity
28,upload.wav · e8b8aa37,e8b8aa373520,e8b8aa37352029f955420e5e5a5d98ba9dcf3a52913aa1630f8a89515c0b55dc,C:\VocalAgent\runtime\0cd50917f9ed40d1a9e62a9f5904268f\upload.wav,speaker_005,LOW_CANDIDATE,0.383029,0.370905,0.388603,0.418250,0.370905,0.379754,0.017698,0.448098,0.519533,0.500000,GOOD,False,weak similarity
29,upload.webm · c01fc220,c01fc220195f,c01fc220195f24668f8242f622fcaed321c4835de32592ae478c8e34c588a3ca,C:\VocalAgent\runtime\diagnostic_sessions\9794b5ceaddf434d9fcec7115a9be1ea\tasks\sustain_a\attempt_1\upload.webm,speaker_005,LOW_CANDIDATE,0.382156,0.369982,0.387947,0.417380,0.369982,0.378964,0.017965,0.447073,0.519004,0.500000,FAIR,False,weak similarity
30,upload.webm · 0ea5487c,0ea5487c229a,0ea5487c229a9e74970718c68e391de0bbf0126138ab78f21ef76e4e1e407bea,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_a\attempt_1\upload.webm,speaker_025,LOW_CANDIDATE,0.381724,0.414936,0.360177,0.426844,0.360177,0.387556,0.054759,0.409367,0.442942,0.250000,FAIR,False,weak similarity
31,upload.wav · 7b8c45cd,7b8c45cdd16b,7b8c45cdd16b1f9e08bbf2d6391f364f9bdd303ac58a1f78baa457df76d4f322,C:\VocalAgent\runtime\0cc29f91aee74ab29f02519e3b381df5\upload.wav,speaker_005,LOW_CANDIDATE,0.381351,0.369177,0.387203,0.416528,0.369177,0.378190,0.018026,0.446069,0.518389,0.500000,FAIR,False,weak similarity
32,upload.webm · 6b3aa0d0,6b3aa0d0ddfb,6b3aa0d0ddfb5566666c3d263cd565600414ee03187045dfa90b2079bdd141af,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\siren\attempt_1\upload.webm,speaker_023,LOW_CANDIDATE,0.380224,0.435404,0.351199,0.433171,0.351199,0.393301,0.084205,0.438490,0.389205,0.000000,FAIR,False,weak similarity
33,upload.webm · 40fb3383,40fb338380cc,40fb338380ccc7353ba5bf76ba5e135e3b8a2b6d0b4ac20b5976be85a6f948d6,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\dynamic_swell\attempt_1\upload.webm,speaker_007,LOW_CANDIDATE,0.378175,0.433463,0.349167,0.430983,0.349167,0.391315,0.084296,0.406615,0.441326,0.000000,FAIR,False,weak similarity
34,upload.webm · 95b54db5,95b54db5ba3d,95b54db5ba3d0f7067ee955a5b3e3b160ddbd3ef8112d53a881c3a97c0539ecb,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\dynamic_swell\attempt_1\upload.webm,speaker_011,LOW_CANDIDATE,0.370764,0.426667,0.341743,0.423153,0.341743,0.384205,0.084924,0.373456,0.339331,0.000000,FAIR,False,weak similarity
35,upload.webm · c3fca76b,c3fca76b89b8,c3fca76b89b8095917a4c8b97e723c95c1723a105e89535722eeb857aae5c5a8,C:\VocalAgent\runtime\02ca15a9e9a542cf99c19dfd6c9d1fe2\upload.webm,speaker_006,LOW_CANDIDATE,0.367419,0.446854,0.330434,0.428041,0.330434,0.388644,0.116420,0.383544,0.362666,0.041667,GOOD,False,weak similarity
36,upload.webm · ed401e19,ed401e191813,ed401e191813a304b8ea3194ffed35ed285e33b948375a727a1e30698ca8a78a,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\siren\attempt_1\upload.webm,speaker_001,LOW_CANDIDATE,0.365815,0.389224,0.348047,0.406004,0.348047,0.368635,0.041177,0.321002,0.319110,0.000000,FAIR,False,weak similarity
37,upload.wav · c1f4910e,c1f4910eafe2,c1f4910eafe21e50ed5c64e1d8faf27503427b10760bd55c9762e5a1965abc8e,C:\VocalAgent\runtime\e7d6b8168bc64bed95f5a7cf2f27c204\upload.wav,speaker_005,LOW_CANDIDATE,0.359626,0.334049,0.406335,0.407719,0.334049,0.370192,0.072286,0.472129,0.492591,0.000000,POOR,False,weak similarity
38,upload.webm · e1c87ca2,e1c87ca2521c,e1c87ca2521c111be9167e088e3dce3a15d6ec95a01420423bcc991f36d002ca,C:\VocalAgent\runtime\78510f3622e64f1dbe00be542b3fdaa9\upload.webm,speaker_006,LOW_CANDIDATE,0.357428,0.422051,0.325778,0.411819,0.325778,0.373915,0.096273,0.365317,0.280463,0.000000,GOOD,False,weak similarity
39,upload.webm · 70479ec6,70479ec67665,70479ec6766578cdb4a3341bb6f3951080ea4e166613794d6bd4b1729e320074,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\high_note_sustain_a\attempt_1\upload.webm,speaker_014,LOW_CANDIDATE,0.354821,0.346572,0.351270,0.384292,0.346572,0.348921,0.004698,0.268102,0.289540,0.125000,FAIR,False,weak similarity
40,upload.wav · 442202fc,442202fca595,442202fca595a8762e99074200044f82fe8c17fc8e411b35d5ffb0d60b2b3b6b,C:\VocalAgent\runtime\0e3cb9e466744bf69101def07914fcb7\upload.wav,speaker_005,LOW_CANDIDATE,0.354009,0.331712,0.391570,0.398301,0.331712,0.361641,0.059858,0.480762,0.510677,0.500000,POOR,False,weak similarity
41,upload.webm · d399575e,d399575eeebe,d399575eeebed9ee5739df586f8851dd6f04620a466e634b85e97b81e9541a9d,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\siren\attempt_1\upload.webm,speaker_001,LOW_CANDIDATE,0.353175,0.475433,0.301916,0.428075,0.301916,0.388675,0.173518,0.389480,0.329866,0.000000,FAIR,False,weak similarity
42,upload.wav · a77ba822,a77ba822cbfe,a77ba822cbfe2f2a9a66e32736b836da899e2e2cc05401f011b69176a6548630,C:\VocalAgent\runtime\00588c90e6f3431b868eb274540a2e48\upload.wav,speaker_005,LOW_CANDIDATE,0.352410,0.329864,0.390823,0.396872,0.329864,0.360344,0.060959,0.483558,0.509972,0.500000,FAIR,False,weak similarity
43,upload.wav · 9e6b39da,9e6b39daf637,9e6b39daf637fa2dcefa192385350b5123ad8601fae366ff47b58064d25f6816,C:\VocalAgent\runtime\4532e16bdda743b99052bda7bb0fa469\upload.wav,speaker_005,LOW_CANDIDATE,0.352410,0.329864,0.390823,0.396872,0.329864,0.360344,0.060959,0.483558,0.509972,0.500000,FAIR,False,weak similarity
44,upload.wav · 8b561778,8b5617784c9c,8b5617784c9cc595a52c9f2acc8ed7dbed319892f0378f8edee2772b0ebc3de7,C:\VocalAgent\runtime\336e27a3d2af432aaecb554c46dbcc90\upload.wav,speaker_005,LOW_CANDIDATE,0.346784,0.335304,0.353302,0.379205,0.335304,0.344303,0.017997,0.409253,0.490452,0.000000,POOR,False,weak similarity
45,upload.wav · 90ac5e34,90ac5e34aedd,90ac5e34aedd74908ebf78834d5b35ea34ff6ea843f2e1980fc7ded9d8d836dd,C:\VocalAgent\backend\runtime\e0e6361733b34633a1cd095d9d0b020e\upload.wav,speaker_005,LOW_CANDIDATE,0.346662,0.335220,0.353078,0.379036,0.335220,0.344149,0.017858,0.409150,0.490089,0.000000,POOR,False,weak similarity
46,upload.webm · 7abf49d0,7abf49d0b4cd,7abf49d0b4cdc7f451370d7cb5805222ad3482bc8842f59edfb13c215214da32,C:\VocalAgent\runtime\fce31e25965045ea8778700dad4b31cc\upload.webm,speaker_006,LOW_CANDIDATE,0.341087,0.413414,0.307238,0.396852,0.307238,0.360326,0.106176,0.353270,0.317406,0.083333,GOOD,False,weak similarity
47,upload.wav · d46938ba,d46938baf1fc,d46938baf1fc1019581e15818aac59d87cb4b5c18d1e0c88f40d3e815dedc149,C:\VocalAgent\runtime\5f423fdb91574d9b9df7dbeee9b18f0f\upload.wav,speaker_005,LOW_CANDIDATE,0.338980,0.317811,0.374416,0.381200,0.317811,0.346114,0.056605,0.489996,0.506408,0.500000,POOR,False,weak similarity
48,upload.webm · a29f829e,a29f829eedd0,a29f829eedd08ad5d7a33f7d88e4d5f840a362c7ea957039123c3633b653cf0f,C:\VocalAgent\runtime\2321ae4482414bd4ad33796695d1f1ee\upload.webm,speaker_003,LOW_CANDIDATE,0.338362,0.474649,0.282697,0.417059,0.282697,0.378673,0.191952,0.384200,0.243758,0.000000,GOOD,False,weak similarity
49,upload.webm · d03ad168,d03ad168d8d7,d03ad168d8d7335e0d42d5c4d570ef28f2d88ad292fe08088fe958f4127e1eeb,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\siren\attempt_1\upload.webm,speaker_021,LOW_CANDIDATE,0.331856,0.427395,0.290309,0.395229,0.290309,0.358852,0.137086,0.435643,0.378431,0.000000,FAIR,False,weak similarity
50,upload.wav · cfc6b206,cfc6b206e99b,cfc6b206e99b298a229480f020e61d2b22a791e08a840fdd40ef62d8bd78b155,C:\VocalAgent\runtime\02cee106dd424fde903d4b72c95d0522\upload.wav,speaker_005,LOW_CANDIDATE,0.331370,0.310684,0.365991,0.372635,0.310684,0.338338,0.055307,0.419667,0.434477,0.000000,POOR,False,weak similarity
51,upload.webm · 1a0be83c,1a0be83ce9c6,1a0be83ce9c6c4dbbd0bf38bc106c4aa47fd88c9f599f67fb1c1dbd9c3764ceb,C:\VocalAgent\runtime\diagnostic_sessions\e532610cd0cc437189bbd33ed4052a1e\tasks\sustain_a\attempt_1\upload.webm,speaker_005,LOW_CANDIDATE,0.331370,0.310684,0.365991,0.372635,0.310684,0.338338,0.055307,0.419667,0.434477,0.000000,POOR,False,weak similarity
52,upload.webm · b960707a,b960707ab2f6,b960707ab2f6bbf6aee62f29c21011654ba410a0b310f452c11dd605cba2fe60,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\sustain_a\attempt_1\upload.webm,speaker_001,LOW_CANDIDATE,0.321834,0.411335,0.282620,0.382151,0.282620,0.346978,0.128715,0.305910,0.269209,0.000000,GOOD,False,weak similarity
